X,S=0,S=1,S=2,S=3,S=4,S=5,S=6
0.270000000000, 0.270000000000, 0.179334000000, 0.125723194200, 0.090500894789, 0.066202791541, 0.048961829400, 0.036501786061
0.280000000000, 0.280000000000, 0.191296000000, 0.137647820800, 0.101596244378, 0.076158252054, 0.057696374745, 0.044049355038
0.290000000000, 0.290000000000, 0.203522000000, 0.150104539400, 0.113442355608, 0.087021752859, 0.067437745277, 0.052652472352
0.300000000000, 0.300000000000, 0.216000000000, 0.163080000000, 0.126036000000, 0.098808660000, 0.078224790960, 0.062375211799
0.310000000000, 0.310000000000, 0.228718000000, 0.176559340600, 0.139370216448, 0.111528578651, 0.090089403882, 0.073274659111
0.320000000000, 0.320000000000, 0.241664000000, 0.190526259200, 0.153434351206, 0.125185154078, 0.103055863016, 0.085399639321
0.330000000000, 0.330000000000, 0.254826000000, 0.204963085800, 0.168214118035, 0.139775929329, 0.117140268648, 0.098789538533
0.340000000000, 0.340000000000, 0.268192000000, 0.219850854400, 0.183691677491, 0.155292259947, 0.132350074478, 0.113473244274
0.350000000000, 0.350000000000, 0.281750000000, 0.235169375000, 0.199845734375, 0.171719285527, 0.148683723921, 0.129468226281
0.360000000000, 0.360000000000, 0.295488000000, 0.250897305600, 0.216651652301, 0.189035957480, 0.166130395568, 0.146779776865
0.370000000000, 0.370000000000, 0.309394000000, 0.267012224200, 0.234081584403, 0.207215121925, 0.184669861272, 0.165400426992
0.380000000000, 0.380000000000, 0.323456000000, 0.283490700800, 0.252104619162, 0.226223656243, 0.204272458733, 0.185309550911
0.390000000000, 0.390000000000, 0.337662000000, 0.300308369400, 0.270686940334, 0.246022657423, 0.224899178966, 0.206473168708
0.400000000000, 0.400000000000, 0.352000000000, 0.317440000000, 0.289792000000, 0.266567680000, 0.246501867520, 0.228843952538
0.410000000000, 0.410000000000, 0.366458000000, 0.334859570600, 0.309380703694, 0.287809021028, 0.269023536895, 0.252361438652
0.420000000000, 0.420000000000, 0.381024000000, 0.352540339200, 0.329411606630, 0.309692049242, 0.292398786194, 0.276952443640
0.430000000000, 0.430000000000, 0.395686000000, 0.370454915800, 0.349841120009, 0.332157575289, 0.316554322770, 0.302531679731
0.440000000000, 0.440000000000, 0.410432000000, 0.388575334400, 0.370623726387, 0.355142259637, 0.341409579371, 0.329002560506
0.450000000000, 0.450000000000, 0.425250000000, 0.406873125000, 0.391712203125, 0.378579054551, 0.366877419171, 0.356258185064
0.460000000000, 0.460000000000, 0.440128000000, 0.425319385600, 0.413057852877, 0.402397676327, 0.392864920050, 0.384182485632
0.470000000000, 0.470000000000, 0.455054000000, 0.443884854200, 0.434610740137, 0.426525103792, 0.419274228543, 0.412651520786
0.480000000000, 0.480000000000, 0.470016000000, 0.462539980800, 0.456319932826, 0.450886098915, 0.446003473117, 0.441534893986
0.490000000000, 0.490000000000, 0.485002000000, 0.481254999400, 0.478133747900, 0.475403745276, 0.472947725715, 0.470697274991
0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000
0.510000000000, 0.510000000000, 0.514998000000, 0.518745000600, 0.521866252100, 0.524596254724, 0.527052274285, 0.529302725009
0.520000000000, 0.520000000000, 0.529984000000, 0.537460019200, 0.543680067174, 0.549113901085, 0.553996526883, 0.558465106014
0.530000000000, 0.530000000000, 0.544946000000, 0.556115145800, 0.565389259863, 0.573474896208, 0.580725771457, 0.587348479214
0.540000000000, 0.540000000000, 0.559872000000, 0.574680614400, 0.586942147123, 0.597602323673, 0.607135079950, 0.615817514368
0.550000000000, 0.550000000000, 0.574750000000, 0.593126875000, 0.608287796875, 0.621420945449, 0.633122580829, 0.643741814936
0.560000000000, 0.560000000000, 0.589568000000, 0.611424665600, 0.629376273613, 0.644857740363, 0.658590420629, 0.670997439494
0.570000000000, 0.570000000000, 0.604314000000, 0.629545084200, 0.650158879991, 0.667842424711, 0.683445677230, 0.697468320269
0.580000000000, 0.580000000000, 0.618976000000, 0.647459660800, 0.670588393370, 0.690307950758, 0.707601213806, 0.723047556360
0.590000000000, 0.590000000000, 0.633542000000, 0.665140429400, 0.690619296306, 0.712190978972, 0.730976463105, 0.747638561348
0.600000000000, 0.600000000000, 0.648000000000, 0.682560000000, 0.710208000000, 0.733432320000, 0.753498132480, 0.771156047462
0.610000000000, 0.610000000000, 0.662338000000, 0.699691630600, 0.729313059666, 0.753977342577, 0.775100821034, 0.793526831292
0.620000000000, 0.620000000000, 0.676544000000, 0.716509299200, 0.747895380838, 0.773776343757, 0.795727541267, 0.814690449089
0.630000000000, 0.630000000000, 0.690606000000, 0.732987775800, 0.765918415597, 0.792784878075, 0.815330138728, 0.834599573008
0.640000000000, 0.640000000000, 0.704512000000, 0.749102694400, 0.783348347699, 0.810964042520, 0.833869604432, 0.853220223135
0.650000000000, 0.650000000000, 0.718250000000, 0.764830625000, 0.800154265625, 0.828280714473, 0.851316276079, 0.870531773719
0.660000000000, 0.660000000000, 0.731808000000, 0.780149145600, 0.816308322509, 0.844707740053, 0.867649925522, 0.886526755726
0.670000000000, 0.670000000000, 0.745174000000, 0.795036914200, 0.831785881965, 0.860224070671, 0.882859731352, 0.901210461467
0.680000000000, 0.680000000000, 0.758336000000, 0.809473740800, 0.846565648794, 0.874814845922, 0.896944136984, 0.914600360679
0.690000000000, 0.690000000000, 0.771282000000, 0.823440659400, 0.860629783552, 0.888471421349, 0.909910596118, 0.926725340889
0.700000000000, 0.700000000000, 0.784000000000, 0.836920000000, 0.873964000000, 0.901191340000, 0.921775209040, 0.937624788201
0.710000000000, 0.710000000000, 0.796478000000, 0.849895460600, 0.886557644392, 0.912978247141, 0.932562254723, 0.947347527648
0.720000000000, 0.720000000000, 0.808704000000, 0.862352179200, 0.898403755622, 0.923841747946, 0.942303625255, 0.955950644962
0.730000000000, 0.730000000000, 0.820666000000, 0.874276805800, 0.909499105211, 0.933797208459, 0.951038170600, 0.963498213939
0.740000000000, 0.740000000000, 0.832352000000, 0.885657574400, 0.919844216115, 0.942865500646, 0.958810963164, 0.970059955455
0.750000000000, 0.750000000000, 0.843750000000, 0.896484375000, 0.929443359375, 0.951072692871, 0.965672492981, 0.975709855556
0.760000000000, 0.760000000000, 0.854848000000, 0.906748825600, 0.938304527565, 0.958449687699, 0.971677805650, 0.980524770935
0.770000000000, 0.770000000000, 0.865634000000, 0.916444344200, 0.946439384059, 0.965031809516, 0.976885596291, 0.984583050296
0.780000000000, 0.780000000000, 0.876096000000, 0.925566220800, 0.953863187098, 0.970858345056, 0.981357273836, 0.987963199825
0.790000000000, 0.790000000000, 0.886222000000, 0.934111689400, 0.960594687638, 0.975972040565, 0.985156010827, 0.990742619938
0.800000000000, 0.800000000000, 0.896000000000, 0.942080000000, 0.966656000000, 0.980418560000, 0.988345794560, 0.992996438835
0.810000000000, 0.810000000000, 0.905418000000, 0.949472490600, 0.972072444278, 0.984245909326, 0.990990495902, 0.994796466106
0.820000000000, 0.820000000000, 0.914464000000, 0.956292659200, 0.976872359526, 0.987503832715, 0.993152972309, 0.996210286657
0.830000000000, 0.830000000000, 0.923126000000, 0.962546235800, 0.981086886705, 0.990243187154, 0.994894221530, 0.997300511682
0.840000000000, 0.840000000000, 0.931392000000, 0.968241254400, 0.984749720371, 0.992515302764, 0.996272602149, 0.998124199286
0.850000000000, 0.850000000000, 0.939250000000, 0.973388125000, 0.987896828125, 0.994371336895, 0.997343136420, 0.998732452698
0.860000000000, 0.860000000000, 0.946688000000, 0.977999705600, 0.990566136781, 0.995861630880, 0.998156909843, 0.999170198996
0.870000000000, 0.870000000000, 0.953694000000, 0.982091374200, 0.992797184273, 0.997035079191, 0.998760580486, 0.999476145872
0.880000000000, 0.880000000000, 0.960256000000, 0.985681100800, 0.994630736282, 0.997938521556, 0.999196009205, 0.999682908423
0.890000000000, 0.890000000000, 0.966362000000, 0.988789519400, 0.996108366564, 0.998616169545, 0.999500019628, 0.999817292346
0.900000000000, 0.900000000000, 0.972000000000, 0.991440000000, 0.997272000000, 0.999109080000, 0.999704293920, 0.999900714514
0.910000000000, 0.910000000000, 0.977158000000, 0.993658720600, 0.998163417324, 0.999454688640, 0.999835407074, 0.999949736820
0.920000000000, 0.920000000000, 0.981824000000, 0.995474739200, 0.998823720550, 0.999686418146, 0.999914998501, 0.999976684720
0.930000000000, 0.930000000000, 0.985986000000, 0.996920065800, 0.999292758079, 0.999833376014, 0.999960075234, 0.999990318337
0.940000000000, 0.940000000000, 0.989632000000, 0.998029734400, 0.999608508467, 0.999920158468, 0.999983435884, 0.999996521654
0.950000000000, 0.950000000000, 0.992750000000, 0.998841875000, 0.999806421875, 0.999966777793, 0.999994198655, 0.999998974455
0.960000000000, 0.960000000000, 0.995328000000, 0.999397785600, 0.999918718157, 0.999988731492, 0.999998410136, 0.999999772889
0.970000000000, 0.970000000000, 0.997354000000, 0.999742004200, 0.999973640607, 0.999997232775, 0.999999704291, 0.999999968002
0.980000000000, 0.980000000000, 0.998816000000, 0.999922380800, 0.999994664346, 0.999999622997, 0.999999972879, 0.999999998024
0.990000000000, 0.990000000000, 0.999702000000, 0.999990149400, 0.999999658330, 0.999999987815, 0.999999999557, 0.999999999984
1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000
